departamento,codigodanedepartamento,municipio,codigodanemunicipio,tipoarea,sitio,ano,mes,rangoedad,grupoetnico,condicion,estado,genero,latitudcabecera,longitudcabecera,tipoevento,Ubicación,Actividad
ANTIOQUIA,5,ITUANGO,5361,Rural,Sector Quebrada San Juan,2008,6,Mayor de 18 años,no,Fuerza pública,Hombre,Herido,7.171637,-75.764403,Sin informacion,"(7.171637, -75.764403)",Fuerza pública
ANTIOQUIA,5,ITUANGO,5361,Rural,Sector Quebrada San Juan,2008,6,Mayor de 18 años,no,Fuerza pública,Hombre,Herido,7.171637,-75.764403,Sin informacion,"(7.171637, -75.764403)",Fuerza pública
ANTIOQUIA,5,ITUANGO,5361,Rural,Sector Quebrada San Juan,2008,6,Mayor de 18 años,no,Fuerza pública,Hombre,Herido,7.171637,-75.764403,Sin informacion,"(7.171637, -75.764403)",Fuerza pública
ANTIOQUIA,5,CAMPAMENTO,5134,Rural,Sin información,2005,10,Mayor de 18 años,no,Civil,Hombre,Herido,7.007273,-75.27748,Sin informacion,"(7.007273, -75.27748)",Sin Información
ANTIOQUIA,5,SAN FRANCISCO,5652,Rural,Vereda Loma De Comejenes,2006,8,Mayor de 18 años,no,Fuerza pública,Hombre,Herido,5.926667,-75.0225,Sin informacion,"(5.926667, -75.0225)",Fuerza pública
ANTIOQUIA,5,SAN FRANCISCO,5652,Rural,Vereda Loma De Comejenes,2006,8,Mayor de 18 años,no,Fuerza pública,Hombre,Herido,5.926667,-75.0225,Sin informacion,"(5.926667, -75.0225)",Fuerza pública
ANTIOQUIA,5,ITUANGO,5361,Rural,Vereda La Francia,2003,8,Menor de 18 años,no,Civil,Hombre,Muerto,7.171637,-75.764403,Sin informacion,"(7.171637, -75.764403)","Pasando, estando cerca"
ANTIOQUIA,5,TURBO,5837,Rural,Sin información,1994,1,Mayor de 18 años,no,Fuerza pública,Hombre,Herido,8.09915965147,-76.7392323702,Sin informacion,"(8.09915965147, -76.7392323702)",Fuerza pública
ANTIOQUIA,5,TURBO,5837,Rural,Sin información,1994,1,Mayor de 18 años,no,Fuerza pública,Hombre,Herido,8.09915965147,-76.7392323702,Sin informacion,"(8.09915965147, -76.7392323702)",Fuerza pública
ANTIOQUIA,5,ITUANGO,5361,Rural,Vereda Santo Tomás,2004,11,Mayor de 18 años,no,Fuerza pública,Hombre,Herido,7.301667,-75.880556,Sin informacion,"(7.301667, -75.880556)",Fuerza pública
ANTIOQUIA,5,ITUANGO,5361,Rural,Vereda Santo Tomás,2004,11,Mayor de 18 años,no,Fuerza pública,Hombre,Herido,7.301667,-75.880556,Sin informacion,"(7.301667, -75.880556)",Fuerza pública
ANTIOQUIA,5,CHIGORODÓ,5172,Rural,Vía Carepa - Chigorodó,2007,4,Mayor de 18 años,no,Fuerza pública,Hombre,Herido,7.665416,-76.680413,Sin informacion,"(7.665416, -76.680413)",Fuerza pública
ANTIOQUIA,5,CHIGORODÓ,5172,Rural,Vía Carepa - Chigorodó,2007,4,Mayor de 18 años,no,Fuerza pública,Hombre,Herido,7.665416,-76.680413,Sin informacion,"(7.665416, -76.680413)",Fuerza pública
ANTIOQUIA,5,ZARAGOZA,5895,Urbana,Finca Las Margaritas Vereda La Porquera,2006,8,Mayor de 18 años,no,Civil,Hombre,Herido,7.490632,-74.867778,Sin informacion,"(7.490632, -74.867778)",Agricultura
ANTIOQUIA,5,APARTADÓ,5045,Rural,La Vereda Esperanza,2007,7,Mayor de 18 años,no,Fuerza pública,Hombre,Herido,7.984444,-76.501389,Sin informacion,"(7.984444, -76.501389)",Fuerza pública
ANTIOQUIA,5,SAN LUIS,5660,Rural,El Socorro,2004,5,Mayor de 18 años,no,Civil,Hombre,Muerto,6.042723,-74.994899,Sin informacion,"(6.042723, -74.994899)",Sin Información
ANTIOQUIA,5,MONTEBELLO,5467,Rural,Vereda San Antonio,2004,2,Menor de 18 años,no,Civil,Mujer,Herido,5.910034,-75.541233,Sin informacion,"(5.910034, -75.541233)",Sin Información
ANTIOQUIA,5,MONTEBELLO,5467,Rural,Vereda San Antonio,2004,2,Mayor de 18 años,no,Civil,Mujer,Herido,5.910034,-75.541233,Sin informacion,"(5.910034, -75.541233)",Sin Información
ANTIOQUIA,5,MONTEBELLO,5467,Rural,Vereda San Antonio,2004,2,Menor de 18 años,no,Civil,Hombre,Herido,5.910034,-75.541233,Sin informacion,"(5.910034, -75.541233)",Sin Información
ANTIOQUIA,5,MONTEBELLO,5467,Rural,Vereda San Antonio,2004,2,Menor de 18 años,no,Civil,Mujer,Herido,5.910034,-75.541233,Sin informacion,"(5.910034, -75.541233)",Sin Información
ANTIOQUIA,5,URRAO,5847,Rural,Quebrada El Salao,2003,5,Mayor de 18 años,no,Fuerza pública,Hombre,Herido,6.315899,-76.134258,Sin informacion,"(6.315899, -76.134258)",Fuerza pública
ANTIOQUIA,5,SAN CARLOS,5649,Rural,Vereda La Esperanza,2003,7,Mayor de 18 años,no,Civil,Hombre,Herido,6.187566,-74.993636,Sin informacion,"(6.187566, -74.993636)",Sin Información
ANTIOQUIA,5,SAN CARLOS,5649,Rural,Vereda La Esperanza,2003,7,Mayor de 18 años,no,Civil,Hombre,Herido,6.187566,-74.993636,Sin informacion,"(6.187566, -74.993636)",Sin Información
ANTIOQUIA,5,SAN CARLOS,5649,Rural,Vereda La Esperanza,2003,7,Mayor de 18 años,no,Civil,Hombre,Herido,6.187566,-74.993636,Sin informacion,"(6.187566, -74.993636)",Sin Información
ANTIOQUIA,5,DABEIBA,5234,Rural,Vereda Alto El Toro,2007,5,Mayor de 18 años,no,Fuerza pública,Hombre,Herido,7.115,-76.264,Sin informacion,"(7.115, -76.264)",Fuerza pública
